,Municipios,Altitude,X_coord,Y_coord,CHUVA,ETP,ETR,DEF,EXC,ER/ETP,TEMP_MÉD_ANUAL
0,EstacaoMeteorologicaES1,66,-39.96,-18.3,1036.98,1382.2942366086,1036.98000001,345.314236598604,0,0.750187603005698,24.8495505
1,EstacaoMeteorologicaES2,3,-39.75,-18.56,1164.71666666667,1413.22794782128,1164.71666667667,248.511281144616,0,0.824153434321946,25.0615323333333
2,EstacaoMeteorologicaES3,6,-39.76,-18.95,1394.9,1397.76396748073,1298.4981621532,99.2658053275267,96.4018378467982,0.928982426477598,24.9599734166667
3,EstacaoMeteorologicaES4,180,-40.75,-18.99,1250.84333333333,1341.71057911408,1151.70505396225,190.005525151833,99.1382793710854,0.858385610049157,24.5298230833333
4,EstacaoMeteorologicaES5,90,-40.09,-18.49,1127.65,1367.36500656194,1127.65000001,239.715006551938,0,0.824688356509379,24.74304925
5,EstacaoMeteorologicaES6,192,-40.89,-18.75,1097.59333333333,1355.17864153394,1049.710518912,305.46812262194,47.8828144213292,0.774591988642784,24.61265575
6,EstacaoMeteorologicaES7,280,-40.98,-18.55,1217.03333333333,1288.98348319611,1111.82325581441,177.1602273817,105.210077518922,0.862558186593345,24.11697275
7,EstacaoMeteorologicaES8,60,-39.99,-18.98,1610.65,1369.19226948958,1291.04620545969,78.1460640298861,319.60379454031,0.942925427077515,24.7607548333333
8,EstacaoMeteorologicaES9,190,-40.89,-18.12,1089.33333333333,1379.40192014708,1089.33333333359,290.06858681349,0,0.789714235875095,24.7697933333333
9,EstacaoMeteorologicaES10,300,-40.69,-18.81,1197.13333333333,1232.81965074321,1066.81989801125,165.999752731963,130.313435322085,0.865349524050911,23.6867905833333
10,EstacaoMeteorologicaES11,200,-40.72,-18.19,1104.76666666667,1345.32045334958,1084.71492972478,260.605523624796,20.0517369418837,0.806287399425215,24.5483624166667
11,EstacaoMeteorologicaES12,96,-40.14,-18.15,1123.2,1379.115774931,1123.20000000031,255.915774930689,0,0.814434886771205,24.81849075
12,EstacaoMeteorologicaES13,300,-40.84,-18.37,1332.98666666667,1261.31495358928,1161.99568868554,99.3192649037424,170.990977981125,0.921257363499011,23.90667625
13,EstacaoMeteorologicaES14,400,-40.6,-18.21,1121.67666666667,1162.72978096541,1035.04975354616,127.680027419249,86.6269131205106,0.890189423622368,23.0545869166667
14,EstacaoMeteorologicaES15,96,-40.46,-18.49,1130.18,1408.42643368625,1129.31165771074,279.114775975504,0.868342289258067,0.801825094091011,24.9969285833333
15,EstacaoMeteorologicaES16,100,-40.41,-18.32,1149.97666666667,1403.71228844415,1134.00494659664,269.707341847508,15.9717200700258,0.807861380093461,24.9677476666667
16,EstacaoMeteorologicaES17,80,-40.44,-18.7,1051.92,1415.38714622243,1051.92000000012,363.467146222311,0,0.743203018910847,25.0446778333333
17,EstacaoMeteorologicaES18,100,-40.34,-18.56,1098.8,1386.06134260643,1082.80929476548,303.25204784095,15.9907052345201,0.78121311191704,24.8572543333333
18,EstacaoMeteorologicaES19,900,-41.12,-18.91,993.19,912.579496580245,804.489193473453,108.090303106792,188.700806526547,0.881555192164798,19.8276870833333
19,EstacaoMeteorologicaES20,500,-41.04,-18.41,1210.86666666667,1126.53113756267,1020.64564626657,105.885491296097,190.221020400098,0.906007488150582,22.66407725
20,EstacaoMeteorologicaES21,3,-39.79,-19.58,1196.85333333333,1383.56034359747,1197.0662532118,186.494090385666,0,0.86520711492731,24.8616431666667
21,EstacaoMeteorologicaES22,165,-40.87,-19.87,1145.91666666667,1342.03962845924,1055.32697067498,286.712657784261,90.5896959916887,0.78636051298021,24.53018775
22,EstacaoMeteorologicaES23,149,-40.68,-19.81,1082.08,1336.82604305398,1031.30127656208,305.524766491897,50.7787234379197,0.771455105861099,24.5034575833333
23,EstacaoMeteorologicaES24,5,-40.15,-19.96,1260.95666666667,1413.97141127142,1230.41462695778,183.556784313642,30.5420397088851,0.870183525034223,25.0490206666667
24,EstacaoMeteorologicaES25,50,-40.4,-19.69,1356.77666666667,1407.16199697381,1250.78716439756,156.374832576246,105.989502269107,0.888872188907503,24.99667725
25,EstacaoMeteorologicaES26,40,-40.62,-19.53,1072.92,1453.69058033119,1072.92000000008,380.770580331104,0,0.738066280759448,25.2785225833333
26,EstacaoMeteorologicaES27,50,-40.4,-19.94,1519.7,1398.52314092912,1331.96881672216,66.5543242069604,187.731183277837,0.952410995385643,24.9398501666667
27,EstacaoMeteorologicaES28,135,-40.85,-19.22,1188.17333333333,1392.01950987423,1115.95788499769,276.061624876534,72.2154483356415,0.801682646745751,24.8709555
28,EstacaoMeteorologicaES29,675,-40.55,-19.95,1864.22666666667,964.353249918042,964.353249918042,0,899.873416748625,1,20.7032804166667
29,EstacaoMeteorologicaES30,70,-40.84,-19.66,1122.82666666667,1445.41558887203,1088.32879212383,357.086796748198,34.4978745428322,0.752952161650021,25.2157818333333
30,EstacaoMeteorologicaES31,170,-40.59,-19.24,1170.33666666667,1324.19138163624,1066.87378450873,257.317597127514,103.462882157937,0.805679450345344,24.4148013333333
31,EstacaoMeteorologicaES32,70,-40.52,-19.06,1174.58333333333,1423.85670787809,1113.94871874509,309.907989132997,60.634614588245,0.782346083409727,25.0964441666667
32,EstacaoMeteorologicaES33,690,-40.74,-19.96,1144.86,968.095281214382,895.215782169925,72.8794990444576,249.644217830075,0.924718671334667,20.7483426666667
33,EstacaoMeteorologicaES34,58,-40.27,-19.83,1345.37333333333,1377.50742747631,1233.68478765137,143.822639824934,111.688545681961,0.895592113003392,24.8052334166667
